id,Location,Sex,TA,EDL,Gastroc,Soleus,Tibia,Mode,thick,delta_thick,thick_log,Thickness
275,UoA,M,45.3,8.6,109.1,7.9,16.24,141,20.012,14,1.301290494,1.62121773
276,UoA,M,50.4,8.7,113.8,8.6,16.28,143,12.621,16.063,1.101093767,1.022455975
277,UoA,M,38.1,7.6,90.3,5,15.53,124,11.99,15.23,1.078819183,0.971337227
278,UoA,M,43.8,7.9,103.1,6.4,15.81,139,19.993,12.09,1.300877966,1.619678497
279,UoA,M,43.7,7.7,102.5,6.5,15.42,144,12.031,15.785,1.080301727,0.97465873
280,UoA,M,46.7,8.9,112,6.4,16.69,153,11.634,19.869,1.065729059,0.942496855
281,UoA,M,46.5,9.4,108.6,8.3,16.67,140,13.999,15.541,1.146097014,1.134090895
282,UoA,M,42.6,8.8,113.7,7.1,16.98,123,15.977,15.351,1.203495235,1.294333184
283,UoA,M,40.2,7.2,93.4,5.8,16.18,146,18.023,16.881,1.255827083,1.460084307
284,UoA,M,45.8,9.3,117.5,7,16.42,142,13.963,19.693,1.144978738,1.131174453
285,UoA,M,42.7,8.7,116.8,6,16.35,130,13.991,16.338,1.145848757,1.133442797
286,UoA,M,59.5,10.9,133.6,6.5,16.82,126,13.974,17.732,1.145320739,1.132065588
287,UoA,M,46.9,8,101.9,6.1,16.45,136,11.999,14.413,1.079145053,0.972066337
288,UoA,M,46.2,7.7,100.2,6.8,16.15,147,14.009,13.29,1.146407135,1.134901018
289,UoA,M,41.6,8.1,89.3,6.3,15.69,139,10.75,14.862,1.031408464,0.870882001
290,UoA,M,46.2,8.3,108.2,6.1,17.23,148,11.996,14,1.079036457,0.9718233
291,UoA,M,48,8.2,113.7,7.4,16.58,151,12.031,16,1.080301727,0.97465873
292,UoA,M,49.4,9.1,114.9,7.1,16.59,149,13.978,13.95,1.145445036,1.132389638
293,UoA,M,39.2,7.4,95,7.7,15.96,147,10.747,15.298,1.031287249,0.870638964
